timestamp_start,timestamp_end,most_played_artist,most_played_song,artist_duration,song_duration
4/23/2021,4/30/2021,Ludovico Einaudi,Nuvole Bianche,141,126
4/30/2021,5/7/2021,Ludovico Einaudi,The Portrait,177,66
5/7/2021,5/14/2021,Ludovico Einaudi,Moonlight Sonata,40,24
5/14/2021,5/21/2021,Taylor Swift,61 Others,123,27
5/21/2021,5/28/2021,16 Others,61 Others,75,44
5/28/2021,6/4/2021,16 Others,61 Others,95,89
6/4/2021,6/11/2021,Joe Hisaishi,61 Others,391,123
6/11/2021,6/18/2021,Joe Hisaishi,Nuvole Bianche,48,24
6/18/2021,6/25/2021,Joe Hisaishi,61 Others,164,32
6/25/2021,7/2/2021,Ludovico Einaudi,Nuvole Bianche,69,42
7/2/2021,7/9/2021,Ludovico Einaudi,Nuvole Bianche,111,85
7/9/2021,7/16/2021,Taylor Swift,61 Others,38,24
7/16/2021,7/23/2021,Ludovico Einaudi,Nuvole Bianche,180,151
7/23/2021,7/30/2021,Ludovico Einaudi,Nuvole Bianche,126,105
7/30/2021,8/6/2021,16 Others,61 Others,121,120
8/6/2021,8/13/2021,Ludovico Einaudi,Nuvole Bianche,95,95
8/13/2021,8/20/2021,Ludovico Einaudi,Nuvole Bianche,84,84
8/20/2021,8/27/2021,Taylor Swift,The Portrait,87,24
8/27/2021,9/3/2021,Ludovico Einaudi,Nuvole Bianche,193,185
9/3/2021,9/10/2021,Ludovico Einaudi,Nuvole Bianche,290,290
9/10/2021,9/17/2021,Ludovico Einaudi,Nuvole Bianche,304,304
9/17/2021,9/24/2021,Ludovico Einaudi,Nuvole Bianche,86,86
9/24/2021,10/1/2021,Ludovico Einaudi,Nuvole Bianche,397,397
10/1/2021,10/8/2021,Ludovico Einaudi,Nuvole Bianche,490,490
10/8/2021,10/15/2021,Ludovico Einaudi,Nuvole Bianche,508,450
10/15/2021,10/22/2021,Ludovico Einaudi,Nuvole Bianche,847,478
10/22/2021,10/29/2021,Ludovico Einaudi,Nuvole Bianche,607,114
10/29/2021,11/5/2021,Ludovico Einaudi,Nuvole Bianche,440,147
11/5/2021,11/12/2021,Ludovico Einaudi,Nuvole Bianche,584,79
11/12/2021,11/19/2021,Ludovico Einaudi,Nuvole Bianche,735,176
11/19/2021,11/26/2021,Ludovico Einaudi,Nuvole Bianche,607,537
11/26/2021,12/3/2021,Ludovico Einaudi,Nuvole Bianche,395,206
12/3/2021,12/10/2021,Ludovico Einaudi,Nuvole Bianche,378,339
12/10/2021,12/17/2021,Ludovico Einaudi,Nuvole Bianche,302,208
12/17/2021,12/24/2021,Ludovico Einaudi,Nuvole Bianche,82,82
12/24/2021,12/31/2021,Ludovico Einaudi,Nuvole Bianche,245,245
12/31/2021,1/7/2022,Ludovico Einaudi,Nuvole Bianche,160,153
1/7/2022,1/14/2022,Ludovico Einaudi,Nuvole Bianche,145,51
1/14/2022,1/21/2022,Ludovico Einaudi,61 Others,220,31
1/21/2022,1/28/2022,Ludovico Einaudi,Oltremare,239,44
1/28/2022,2/4/2022,Ludovico Einaudi,61 Others,40,7
2/4/2022,2/11/2022,Ludovico Einaudi,Ancora,339,44
2/11/2022,2/18/2022,Ludovico Einaudi,Ancora,337,59
2/18/2022,2/25/2022,Taylor Swift,Nuvole Bianche,474,134
2/25/2022,3/4/2022,Ludovico Einaudi,Nuvole Bianche,431,252
3/4/2022,3/11/2022,Ludovico Einaudi,Nuvole Bianche,245,153
3/11/2022,3/18/2022,Taylor Swift,61 Others,281,66
3/18/2022,3/25/2022,Ludovico Einaudi,Nuvole Bianche,119,97
3/25/2022,4/1/2022,Taylor Swift,Nuvole Bianche,199,110
4/1/2022,4/8/2022,Ludovico Einaudi,Nuvole Bianche,331,49
4/8/2022,4/15/2022,Ludovico Einaudi,61 Others,308,43
4/15/2022,4/22/2022,Ludovico Einaudi,Nuvole Bianche,23,23
4/22/2022,4/29/2022,Ludovico Einaudi,Ancora,146,24
4/29/2022,5/6/2022,Taylor Swift,61 Others,118,23
5/6/2022,5/13/2022,16 Others,The Portrait,9,9
5/13/2022,5/20/2022,Ludovico Einaudi,Nuvole Bianche,6,5
5/20/2022,5/27/2022,Ludovico Einaudi,Ancora,136,24
5/27/2022,6/3/2022,Taylor Swift,61 Others,40,8
6/3/2022,6/10/2022,Taylor Swift,Enchanted,327,52
6/10/2022,6/17/2022,Taylor Swift,Oltremare,192,33
6/17/2022,6/24/2022,Ludovico Einaudi,Oltremare,428,72
6/24/2022,7/1/2022,Ludovico Einaudi,Enchanted,325,90
7/1/2022,7/8/2022,Taylor Swift,Enchanted,355,208
7/8/2022,7/15/2022,Taylor Swift,Enchanted,666,309
7/15/2022,7/22/2022,Taylor Swift,Enchanted,275,82
7/22/2022,7/29/2022,Taylor Swift,61 Others,1375,252
7/29/2022,8/5/2022,Taylor Swift,Enchanted,1340,195
8/5/2022,8/12/2022,Taylor Swift,Enchanted,720,168
8/12/2022,8/19/2022,Taylor Swift,Enchanted,894,98
8/19/2022,8/26/2022,Taylor Swift,Enchanted,1863,463
8/26/2022,9/2/2022,Taylor Swift,Enchanted,2543,719
9/2/2022,9/9/2022,Taylor Swift,Enchanted,1849,509
9/9/2022,9/16/2022,Taylor Swift,Enchanted,1730,378
9/16/2022,9/23/2022,Taylor Swift,61 Others,1324,642
9/23/2022,9/30/2022,Taylor Swift,61 Others,1190,486
9/30/2022,10/7/2022,Taylor Swift,61 Others,702,310
10/7/2022,10/14/2022,Taylor Swift,61 Others,537,201
10/14/2022,10/21/2022,Taylor Swift,61 Others,225,114
10/21/2022,10/28/2022,Taylor Swift,61 Others,265,32
10/28/2022,11/4/2022,Taylor Swift,Enchanted,159,23
11/4/2022,11/11/2022,Ludovico Einaudi,Enchanted,175,51
11/11/2022,11/18/2022,Taylor Swift,Enchanted,163,19
11/18/2022,11/25/2022,Taylor Swift,Enchanted,349,48
11/25/2022,12/2/2022,Taylor Swift,Ancora,252,21
12/2/2022,12/9/2022,Taylor Swift,Enchanted,241,82
12/9/2022,12/16/2022,Taylor Swift,Enchanted,252,64
12/16/2022,12/23/2022,Ludovico Einaudi,61 Others,93,15
