duration,x,y,text,n_weeks,measure
934,2022-08-12,-67,-67,163,relative
1957,2022-08-19,1023,+1023,164,relative
2634,2022-08-26,677,+677,165,relative
1850,2022-09-02,-784,-784,166,relative
2194,2022-09-09,344,+344,167,relative
1610,2022-09-16,-584,-584,168,relative
1609,2022-09-23,-1,-1,169,relative
815,2022-09-30,-794,-794,170,relative
693,2022-10-07,-122,-122,171,relative
416,2022-10-14,-277,-277,172,relative
584,2022-10-21,168,+168,173,relative
255,2022-10-28,-329,-329,174,relative
349,2022-11-04,94,+94,175,relative
245,2022-11-11,-104,-104,176,relative
404,2022-11-18,159,+159,177,relative
355,2022-11-25,-49,-49,178,relative
259,2022-12-02,-96,-96,179,relative
303,2022-12-09,44,+44,180,relative
114,2022-12-16,-189,-189,181,total
77,2022-12-23,-37,-37,182,relative
31,2022-12-30,-46,-46,183,relative
183,2023-01-06,152,+152,184,relative
108,2023-01-13,-75,-75,185,relative
34,2023-01-20,-74,-74,186,relative
1249,2023-01-27,1215,+1215,187,relative
739,2023-02-03,-510,-510,188,relative
27,2023-02-10,-712,-712,189,relative
204,2023-02-17,177,+177,190,relative
409,2023-02-24,205,+205,191,relative
523,2023-03-03,114,+114,192,relative
16,2023-03-10,-507,-507,193,relative
68,2023-03-17,52,+52,194,relative
610,2023-03-24,542,+542,195,relative
278,2023-03-31,-332,-332,196,relative
508,2023-04-07,230,+230,197,relative
831,2023-04-14,323,+323,198,relative
500,2023-04-21,-331,-331,199,relative
374,2023-04-28,-126,-126,200,relative
415,2023-05-05,41,+41,201,relative
559,2023-05-12,144,+144,202,relative
260,2023-05-19,-299,-299,203,relative
708,2023-05-26,448,+448,204,relative
13,2023-06-02,-695,-695,205,relative
76,2023-06-09,63,+63,206,relative
48,2023-06-16,-28,-28,207,relative
139,2023-06-23,91,+91,208,relative
157,2023-06-30,18,+18,209,relative
179,2023-07-07,22,+22,210,relative
417,2023-07-14,238,+238,211,relative
325,2023-07-21,-92,-92,212,relative
371,2023-07-28,46,+46,213,relative
172,2023-08-04,-199,-199,214,relative
269,2023-08-11,97,+97,215,relative
184,2023-08-18,-85,-85,216,relative
249,2023-08-25,65,+65,217,relative
236,2023-09-01,-13,-13,218,relative
226,2023-09-08,-10,-10,219,relative
315,2023-09-15,89,+89,220,relative
40,2023-09-22,-275,-275,221,relative
358,2023-09-29,318,+318,222,relative
232,2023-10-06,-126,-126,223,relative
280,2023-10-13,48,+48,224,relative
399,2023-10-20,119,+119,225,relative
360,2023-10-27,-39,-39,226,total
439,2023-11-03,79,+79,227,relative
838,2023-11-10,399,+399,228,relative
1198,2023-11-17,360,+360,229,relative
954,2023-11-24,-244,-244,230,relative
1106,2023-12-01,152,+152,231,relative
453,2023-12-08,-653,-653,232,relative
334,2023-12-15,-119,-119,233,relative
259,2023-12-22,-75,-75,234,relative
13,2023-12-29,-246,-246,235,relative
199,2024-01-05,186,+186,236,relative
756,2024-01-12,557,+557,237,relative
208,2024-01-19,-548,-548,238,relative
451,2024-01-26,243,+243,239,relative
515,2024-02-02,64,+64,240,relative
214,2024-02-09,-301,-301,241,relative
313,2024-02-16,99,+99,242,relative
319,2024-02-23,6,+6,243,relative
547,2024-03-01,228,+228,244,relative
1036,2024-03-08,489,+489,245,relative
1407,2024-03-15,371,+371,246,relative
899,2024-03-22,-508,-508,247,relative
880,2024-03-29,-19,-19,248,relative
1092,2024-04-05,212,+212,249,relative
407,2024-04-12,-685,-685,250,relative
1976,2024-04-19,1569,+1569,251,relative
2034,2024-04-26,58,+58,252,relative
1606,2024-05-03,-428,-428,253,relative
2435,2024-05-10,829,+829,254,relative
2678,2024-05-17,243,+243,255,relative
2159,2024-05-24,-519,-519,256,relative
2303,2024-05-31,144,+144,257,relative
2241,2024-06-07,-62,-62,258,relative
987,2024-06-14,-1254,-1254,259,relative
1409,2024-06-21,422,+422,260,relative
1251,2024-06-28,-158,-158,261,relative
489,2024-07-05,-762,-762,262,relative
346,2024-07-12,-143,-143,263,relative
301,2024-07-19,-45,-45,264,relative
406,2024-07-26,105,+105,265,relative
629,2024-08-02,223,+223,266,relative
876,2024-08-09,247,+247,267,relative
1231,2024-08-16,355,+355,268,relative
1939,2024-08-23,708,+708,269,relative
767,2024-08-30,-1172,-1172,270,total
